,clubs,genre
0, 40seconds Club,"dub techno,dance pop,dub techno,chanson,compositional ambient"
1, Abspannwerk Buchhändlerhof,"east coast hip hop,electro-pop francais,detroit house,ethnotronica,electro-pop francais,golden age hip hop,frankfurt electronic,uk dancehall,german dance,georgian electronic"
2, Adagio Berlin,"australian dance,armenian pop,turkish edm,nouvelle chanson francaise,preschool children's music,slovak hip hop"
3, Arena Berlin,"happy hardcore,eurovision,melodic techno,anadolu rock,urbano espanol,alternative hip hop,orchestral soundtrack,east coast hip hop,indie soul,chanson quebecois,italo dance,australian techno"
4, Astra Kulturhaus,"deep tropical house,arab electronic,mandible,georgian pop,swedish hip hop,neo mellow,conscious hip hop"
5, Badehaus Berlin,"slovak hip hop,turkce remix,melodic techno,edm,classical tenor,canadian electronic,swedish pop rap,swedish pop rap,violin"
6, Ballhaus Spandau,"industrial techno,gen z singer-songwriter,pop dance,australian electropop,acid techno,schranz,georgian alternative,turkish trap,hamburg electronic,york indie,shimmer pop"
7, Bang Bang Club,"britpop,acid techno,turkish hip hop,polish techno,hamburg electronic,australian pop,belgian pop,gabba,electro-pop francais"
8, Bar 25,"experimental house,slovak hip hop,rock uruguayo,experimental house,fotbollslatar,french indietronica,acid techno"
9, Bassy Cowboy Club,"gangster rap,swedish hip hop,neo mellow,belgian indie,georgian electronic"
10, Berghain,"turkish folk,australian techno,anadolu rock,minimal techno,georgian pop,emo rap,experimental techno,turkish folk,compositional ambient,german tech house,danish electropop,electropop,electro-pop francais,georgian electronic"
11, Big Eden,"industrial techno,czsk hip hop,electronica,mandible,focus beats"
12, Bunker (Berlin),"italo dance,classic french pop,conscious hip hop,dance rock,turkce remix,belgian indie,experimental house,french indie pop,nantes indie,violin,jazz cover,new french touch"
13, Cassiopeia (Berlin),"organic electronic,york indie,compositional ambient,georgian pop,pibroch,german house,organic house,organic electronic,polish techno,pop,rock uruguayo"
14, Club der Visionäre,"downtempo,violin,uk dancehall,britpop,french indietronica,nz pop,fotbollslatar,ragga jungle"
15, Cookies Berlin,"hardcore techno,german techno,float house"
16, Die Busche,"alternative hip hop,electronica,detroit house,glitch,violin,happy hardcore,aussietronica,fotbollslatar,czsk hip hop,turkish pop,techno,electro house,indietronica"
17, Eimer (Berlin),"scottish fiddle,shimmer pop,gabba,arabesk,minimal techno,minimal dub,vapor twitch,electronica,ninja,york indie,happy hardcore,outsider house"
18, Felix ClubRestaurant,"eurovision,belgian pop,organic electronic"
19, Geburtstagsklub,"deep soul house,emo rap,acid techno,czsk hip hop,dutch edm,east coast hip hop,french pop"
20, Goya (club),"float house,australian pop,compositional ambient,gabba,modern reggae,danish electronic,compositional ambient,georgian alternative,lo-fi chill,organic house,classical tenor,coverchill,glitch,belgian indie,alternative dance,bleep techno,progressive house,jazz cover,electronica,auteur-compositeur-interprete quebecois,electro-pop francais"
21, Hafenbar,"new french touch,alternative dance,indietronica,intelligent dance music,dance pop,urbano espanol,emo rap,german house,minimal techno,neo mellow,hungarian edm,downtempo,nantes indie,dance rock"
22, Hoppetosse,"indie soul,fotbollslatar,classical,turkish rock,german house,hungarian edm,experimental techno,electro house,preschool children's music"
23, Kater Blau,"anadolu rock,experimental techno,georgian electronic,focus beats,happy hardcore,gabba,armenian hip hop,conscious hip hop,classical era,chanson,float house,kurdish pop"
24, Kater Holzig,"arab electronic,anadolu rock,anadolu rock,turkce remix,belgian indie,deep soul house,focus beats,kurdish pop,aussietronica,urbano espanol"
25, Kiki Blofeld,"chanson,aussietronica,indie soul,australian electropop,golden age hip hop,urbano espanol,french indietronica,german dance,hungarian edm"
26, KitKatClub,"violin,new french touch,glitch,german dance,swedish pop rap,minimal dub,australian techno,chanson quebecois,alternative hip hop,coverchill,chanson,arab electronic,classical era"
27, Klub der Republik ,"lo-fi beats,hardcore techno,eurovision,french indietronica,alternative dance,experimental house,belgian hip hop"
28, Knaack club,"deep soul house,schranz,progressive house,soundtrack,schranz,opera,indietronica,orchestral soundtrack,microhouse,edm"
29, Kumpelnest 3000,"dutch edm,georgian electronic,supergroup,techno,techno,pibroch,turkish trap,dance rock,soundtrack,danish electronic,belgian indie,electronic trap,turkish hip hop,industrial techno,armenian pop"
30, L.U.X,"swedish hip hop,danish electropop,kurdish folk,disco house,georgian pop,downtempo,swedish hip hop,minimal dub,hamburg electronic,german house"
31, La Belle (Diskothek),"minimal dub,armenian pop,glitch,arabesk,hungarian edm,organic house,conscious hip hop,australian techno,turkish rock,progressive house,microhouse"
32, Leydicke,"coverchill,opera,armenian hip hop,belgian pop,detroit house,minimal dub"
33, Lido Berlin,"electronic trap,jazz cover,supergroup,dance rock,italo dance,georgian pop,swedish pop rap,swedish hip hop,minimal dub,georgian pop"
34, Linientreu,"polish techno,classical era,georgian alternative,german dance,chanson,detroit house,georgian electronic,vapor twitch,organic electronic"
35, M-BIA,"german dance,turkish pop,shimmer pop,microhouse,indietronica,italo dance,canadian electronic,hungarian edm,aussietronica,vapor twitch"
36, Magnet Club,"bergen indie,turkish edm,georgian pop,new french touch,dance pop,german techno,minimal techno,danish electronic,australian house"
37, Maria am Ostbahnhof,"georgian alternative,east coast hip hop,golden age hip hop,supergroup,deep tropical house,kurdish folk,czsk hip hop,armenian hip hop,fotbollslatar,turkish rock,gen z singer-songwriter"
38, Matrix (club),"techno,industrial techno,dancehall chileno,fotbollslatar,lo-fi beats,organic electronic,emo rap,orchestral soundtrack,shimmer pop,scottish fiddle,french indietronica,experimental techno,glitch,alternative dance"
39, Miami (club),"neo mellow,organic electronic,ninja,turkish hip hop,turkish pop,belgian indie,german tech house,belgian hip hop,classical tenor,auteur-compositeur-interprete quebecois"
40, Ostgut,"focus beats,australian pop,uk dancehall,deep tropical house,frankfurt electronic,indietronica"
41, Picknick Club,"york indie,deep soul house,australian pop,golden age hip hop,eurovision,lo-fi beats,progressive house,anadolu rock,kurdish folk,organic electronic"
42, Prince Charles Berlin,"electronica,york indie,alternative hip hop,coverchill,italo dance,golden age hip hop,ragga jungle,york indie,downtempo,belgian pop,soundtrack"
43, Privatclub (Berlin),"frankfurt electronic,georgian alternative,gangster rap,gangster rap,electro house,detroit house,mandible,gangster rap,experimental house,anadolu rock,slovak hip hop,auteur-compositeur-interprete quebecois"
44, Q-Dorf,"danish techno,nouvelle chanson francaise,electro-pop francais,emo rap,chanson,neo-classical,classic french pop,industrial techno,belgian indie"
45, Quasimodo Charlottenburg,"belgian hip hop,vapor twitch,rock uruguayo,belgian hip hop"
46, RAW Tempel,"fotbollslatar,lo-fi house,new french touch,neo mellow,classic french pop,bluegrass fiddle,mandible,ethnotronica,uk dancehall,experimental techno"
47, Ritter Butzke,"opera,minimal techno,orchestral soundtrack,electro house,armenian hip hop,turkish pop,fotbollslatar,hungarian edm,gabba,gangster rap"
48, SO36,"techno,violin,east coast hip hop,polish techno,danish electronic,canadian electronic,electro-pop francais,classical,ethnotronica,georgian pop"
49, Sage Club,"fotbollslatar,danish electronic,golden age hip hop,australian house"
50, SchwuZ (club),"belgian indie,dutch edm,german dance,techno,italo dance,gen z singer-songwriter,glitch,pop dance,pop,compositional ambient"
51, Sisyphos (club),"east coast hip hop,chanson quebecois,dub techno,french indie pop,australian electropop,dance pop,bluegrass fiddle"
52, Sound (club),"coverchill,organic electronic,acid techno,aussietronica,happy hardcore,york indie"
53, Suicide Circus,"belgian indie,soundtrack,belgian indie,arabesk,lo-fi house,pop,deep soul house,conscious hip hop,turkish hip hop,danish electronic"
54, Tresor Berlin,"gabba,deep soul house,georgian pop,german techno,afro house,rock uruguayo,coverchill,dub techno,hamburg electronic,classical,industrial techno,edm,pop"
55, WMF Club,"industrial techno,polish techno,industrial techno,eurovision,german tech house,deep soul house,experimental house,dancehall chileno,dutch edm,vapor twitch"
56, Watergate (Berl3 F),"turkish edm,acid techno,intelligent dance music,compositional ambient,chanson quebecois,neo mellow,swedish hip hop,nouvelle chanson francaise,modern reggae"
57, Weekend Club,"electro-pop francais,bergen indie,lo-fi chill,deep tropical house"
58, Wilde Renate,"ninja,pop dance,gabba,experimental techno,preschool children's music,hungarian edm,preschool children's music,bleep techno"
59, YAAM (club),"modern reggae,classical,german dance,classic french pop,chanson,australian techno,australian house,alternative hip hop"
60, Zur Mobelfabrik,"organic house,chanson quebecois,detroit house,orchestral soundtrack,britpop,deep tropical house,german tech house,indietronica,danish electropop,arab electronic,turkish pop"
